epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4057,2.19364,4.90378,1.59203,0.05776,0.0619,0.03393,0.01316,1.82388,4.19277,1.50989,7.777e-05,7.777e-05,7.777e-05
2,3.98581,2.09621,2.97113,1.42591,0.63801,0.43168,0.44927,0.24608,1.5982,2.4941,1.35845,0.000133653,0.000133653,0.000133653
3,5.80469,1.85168,1.95661,1.28274,0.40839,0.51925,0.44293,0.2623,1.5593,2.66731,1.30677,0.00015434,0.00015434,0.00015434
4,7.91726,1.8024,1.69149,1.22357,0.66338,0.58958,0.6361,0.30622,1.57149,2.128,1.30226,0.00013983,0.00013983,0.00013983
5,10.4096,1.69654,1.4514,1.19461,0.63717,0.67982,0.65944,0.34135,1.50028,1.59056,1.23597,9.01243e-05,9.01243e-05,9.01243e-05
