epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76608,2.21175,4.8832,1.58759,0.05425,0.08896,0.03119,0.01019,1.83262,4.23882,1.52188,7.777e-05,7.777e-05,7.777e-05
2,4.37038,2.12922,2.98896,1.43071,0.47296,0.48712,0.43434,0.25093,1.56312,2.7354,1.32305,0.000133653,0.000133653,0.000133653
3,5.76547,1.83567,1.96144,1.28148,0.67932,0.49148,0.49001,0.27762,1.54329,2.92499,1.29225,0.00015434,0.00015434,0.00015434
4,7.26667,1.79341,1.69027,1.21787,0.48113,0.62433,0.52865,0.29397,1.58043,2.39114,1.29222,0.00013983,0.00013983,0.00013983
5,9.14779,1.69467,1.44743,1.19636,0.53347,0.7565,0.65597,0.33561,1.53889,1.71866,1.26922,9.01243e-05,9.01243e-05,9.01243e-05
