epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.44563,2.19685,4.90091,1.59042,0.05584,0.0619,0.03665,0.01367,1.85913,4.15604,1.51428,7.777e-05,7.777e-05,7.777e-05
2,4.19358,2.09929,2.97108,1.42229,0.64601,0.42912,0.40642,0.24045,1.63207,2.56707,1.3547,0.000133653,0.000133653,0.000133653
3,5.72893,1.84359,1.96111,1.28206,0.47743,0.52715,0.49926,0.28447,1.58197,2.70528,1.2949,0.00015434,0.00015434,0.00015434
4,7.45872,1.79417,1.67326,1.21202,0.57791,0.5722,0.57544,0.30894,1.57281,2.26834,1.27454,0.00013983,0.00013983,0.00013983
5,9.44231,1.70103,1.43423,1.19006,0.64614,0.62378,0.62745,0.33691,1.50784,1.71298,1.23561,9.01243e-05,9.01243e-05,9.01243e-05
