epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54992,2.18412,4.89044,1.57144,0.00567,0.05714,0.01128,0.00358,1.87359,4.50833,1.5336,7.777e-05,7.777e-05,7.777e-05
2,4.42462,2.13184,3.17114,1.44519,0.79814,0.39643,0.45301,0.25909,1.58549,2.74502,1.3128,0.000133653,0.000133653,0.000133653
3,5.99327,1.83305,1.98612,1.27131,0.51213,0.51425,0.51489,0.28491,1.56241,2.63432,1.28672,0.00015434,0.00015434,0.00015434
4,7.60562,1.8001,1.71289,1.2189,0.46586,0.72331,0.61354,0.32153,1.54901,2.24295,1.26254,0.00013983,0.00013983,0.00013983
5,9.44003,1.68922,1.46099,1.18073,0.58067,0.68984,0.6929,0.35572,1.49242,1.72914,1.226,9.01243e-05,9.01243e-05,9.01243e-05
