epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.25199,2.18659,4.89321,1.57184,0.07639,0.0869,0.03496,0.01294,1.82892,4.17011,1.49411,7.777e-05,7.777e-05,7.777e-05
2,6.84087,2.11115,2.97125,1.42336,0.58557,0.48269,0.42334,0.23611,1.5773,2.65339,1.33907,0.000133653,0.000133653,0.000133653
3,8.09658,1.84297,1.92108,1.26785,0.51518,0.50467,0.52882,0.2884,1.55746,2.7975,1.30521,0.00015434,0.00015434,0.00015434
4,9.30756,1.8013,1.69726,1.21784,0.52085,0.69463,0.57013,0.31958,1.5973,2.14129,1.31186,0.00013983,0.00013983,0.00013983
5,10.5265,1.70409,1.42977,1.18205,0.57824,0.74542,0.68449,0.37625,1.53415,1.64237,1.24879,9.01243e-05,9.01243e-05,9.01243e-05
