epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68961,2.20689,4.915,1.5892,0.0552,0.0619,0.02844,0.01068,1.84806,4.27776,1.51383,7.777e-05,7.777e-05,7.777e-05
2,4.24072,2.11472,2.9937,1.43379,0.60617,0.42712,0.43779,0.24044,1.61908,2.57913,1.34637,0.000133653,0.000133653,0.000133653
3,5.64303,1.84613,1.93759,1.27658,0.48623,0.55246,0.50704,0.28572,1.55577,2.73631,1.28419,0.00015434,0.00015434,0.00015434
4,6.99002,1.79124,1.66963,1.20886,0.54367,0.59138,0.60736,0.31325,1.52091,2.22696,1.2518,0.00013983,0.00013983,0.00013983
5,8.75723,1.69954,1.45319,1.18708,0.64629,0.60955,0.65815,0.34491,1.47805,1.67408,1.22396,9.01243e-05,9.01243e-05,9.01243e-05
