epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3675,2.19248,4.89979,1.57232,0.04706,0.04762,0.02964,0.01147,1.79673,4.18337,1.50073,7.777e-05,7.777e-05,7.777e-05
2,3.8922,2.094,2.99026,1.42522,0.65236,0.42317,0.43062,0.25364,1.57905,2.68631,1.31772,0.000133653,0.000133653,0.000133653
3,5.32914,1.84316,1.97808,1.28199,0.73191,0.48595,0.5031,0.2849,1.55953,2.77145,1.29381,0.00015434,0.00015434,0.00015434
4,7.07309,1.80956,1.7083,1.22894,0.73843,0.59268,0.66264,0.33067,1.57942,2.34679,1.29122,0.00013983,0.00013983,0.00013983
5,8.86901,1.68744,1.45744,1.19139,0.57419,0.60489,0.65469,0.35005,1.5454,1.77014,1.27732,9.01243e-05,9.01243e-05,9.01243e-05
