epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67379,2.19758,4.88327,1.58144,0.01665,0.02857,0.01132,0.00396,1.85957,4.61082,1.53944,7.777e-05,7.777e-05,7.777e-05
2,4.36128,2.16173,3.20412,1.45762,0.79566,0.35675,0.43697,0.23814,1.59071,2.83985,1.33399,0.000133653,0.000133653,0.000133653
3,5.82694,1.85942,2.02403,1.29236,0.54112,0.46961,0.53029,0.28365,1.5567,2.26288,1.30215,0.00015434,0.00015434,0.00015434
4,7.45822,1.80994,1.73738,1.21937,0.58971,0.5527,0.55586,0.30579,1.5648,2.18005,1.29941,0.00013983,0.00013983,0.00013983
5,9.53386,1.7153,1.47133,1.19256,0.57788,0.66286,0.65884,0.33637,1.49924,1.7199,1.25484,9.01243e-05,9.01243e-05,9.01243e-05
