epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4507,2.20263,4.89584,1.57668,0.05782,0.07346,0.02647,0.00885,1.81838,4.26378,1.49665,7.777e-05,7.777e-05,7.777e-05
2,4.68269,2.12376,3.0264,1.44291,0.67706,0.4414,0.43262,0.23818,1.583,2.62656,1.34893,0.000133653,0.000133653,0.000133653
3,6.53713,1.86422,1.96511,1.29009,0.46012,0.4929,0.51178,0.28183,1.56351,2.95771,1.3258,0.00015434,0.00015434,0.00015434
4,7.95657,1.80305,1.6799,1.22814,0.55629,0.59383,0.57577,0.30639,1.59242,2.37445,1.32518,0.00013983,0.00013983,0.00013983
5,9.24865,1.70895,1.45441,1.19347,0.62836,0.61493,0.6807,0.3534,1.54342,1.69387,1.28072,9.01243e-05,9.01243e-05,9.01243e-05
