epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49492,2.19364,4.90378,1.59203,0.05776,0.0619,0.03393,0.01316,1.82388,4.19277,1.50989,7.777e-05,7.777e-05,7.777e-05
2,4.15,2.09647,2.9718,1.42592,0.63524,0.43173,0.44948,0.24564,1.60025,2.49351,1.35517,0.000133653,0.000133653,0.000133653
3,5.78025,1.85071,1.95652,1.28155,0.4029,0.53858,0.4477,0.2612,1.57363,2.69223,1.3123,0.00015434,0.00015434,0.00015434
4,7.1809,1.80228,1.69464,1.22356,0.64993,0.5725,0.63124,0.31703,1.57291,2.16794,1.30442,0.00013983,0.00013983,0.00013983
5,9.12875,1.69672,1.454,1.19445,0.66132,0.63052,0.66387,0.34869,1.48713,1.6036,1.22893,9.01243e-05,9.01243e-05,9.01243e-05
