epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.86654,2.21654,4.91519,1.59243,0.05797,0.07262,0.03021,0.01028,1.84851,4.24133,1.5295,7.777e-05,7.777e-05,7.777e-05
2,4.2907,2.13159,2.97657,1.43898,0.76154,0.35714,0.41761,0.23699,1.59235,2.70745,1.32797,0.000133653,0.000133653,0.000133653
3,5.50743,1.84987,1.95738,1.28694,0.68767,0.47597,0.47605,0.26478,1.54479,2.77575,1.28882,0.00015434,0.00015434,0.00015434
4,6.70878,1.80115,1.6742,1.21644,0.4972,0.6754,0.59389,0.3402,1.49803,2.18829,1.24284,0.00013983,0.00013983,0.00013983
5,7.88583,1.69476,1.43386,1.18705,0.68141,0.61694,0.65609,0.36358,1.43469,1.68502,1.20504,9.01243e-05,9.01243e-05,9.01243e-05
