epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67901,2.1865,4.89378,1.57542,0.0547,0.0619,0.03936,0.01439,1.81831,4.15088,1.49507,7.777e-05,7.777e-05,7.777e-05
2,5.28912,2.08255,2.9804,1.42165,0.79497,0.37143,0.39073,0.22979,1.58604,2.53754,1.31886,0.000133653,0.000133653,0.000133653
3,6.7093,1.83676,1.94442,1.27883,0.38424,0.54502,0.46349,0.26048,1.58288,2.7468,1.30681,0.00015434,0.00015434,0.00015434
4,7.95367,1.80737,1.70344,1.22196,0.59594,0.64322,0.62981,0.3284,1.58073,2.1686,1.30021,0.00013983,0.00013983,0.00013983
5,9.16642,1.69178,1.45652,1.18775,0.67743,0.68141,0.69279,0.37219,1.55832,1.64052,1.27795,9.01243e-05,9.01243e-05,9.01243e-05
