epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72237,2.19178,4.90605,1.58003,0.03561,0.04762,0.03182,0.01202,1.82424,4.15204,1.51151,7.777e-05,7.777e-05,7.777e-05
2,4.34521,2.09275,2.987,1.42476,0.56211,0.45902,0.45004,0.25454,1.56113,2.54066,1.3219,0.000133653,0.000133653,0.000133653
3,5.82849,1.83867,1.96554,1.28209,0.51241,0.50143,0.51545,0.28858,1.51173,2.97088,1.30376,0.00015434,0.00015434,0.00015434
4,7.33243,1.78421,1.68205,1.21387,0.70682,0.58087,0.6959,0.34094,1.50474,2.27793,1.26173,0.00013983,0.00013983,0.00013983
5,9.29965,1.68838,1.45616,1.18945,0.75054,0.6407,0.73696,0.37126,1.47915,1.58933,1.22926,9.01243e-05,9.01243e-05,9.01243e-05
