epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37491,2.18684,4.89857,1.58947,0.03933,0.04762,0.03357,0.01398,1.81006,4.16461,1.49353,7.777e-05,7.777e-05,7.777e-05
2,5.30065,2.0962,2.99318,1.42647,0.54815,0.50082,0.42125,0.24814,1.53091,2.47272,1.30735,0.000133653,0.000133653,0.000133653
3,6.79742,1.85358,1.95034,1.2864,0.42136,0.62051,0.47889,0.27981,1.48041,2.7517,1.27601,0.00015434,0.00015434,0.00015434
4,8.12679,1.78181,1.67067,1.21554,0.51432,0.66226,0.60997,0.32754,1.484,2.11241,1.26819,0.00013983,0.00013983,0.00013983
5,9.34114,1.70733,1.4529,1.19339,0.63383,0.68164,0.71625,0.36559,1.44419,1.53915,1.23292,9.01243e-05,9.01243e-05,9.01243e-05
