epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.4391,2.18837,4.90441,1.57037,0.05747,0.07262,0.02927,0.01074,1.81489,4.18321,1.49953,7.777e-05,7.777e-05,7.777e-05
2,4.07191,2.10172,3.00585,1.43269,0.68605,0.45412,0.45552,0.24737,1.56805,2.61229,1.32291,0.000133653,0.000133653,0.000133653
3,5.50858,1.84741,1.98009,1.28679,0.75232,0.42712,0.49349,0.27997,1.55097,2.95897,1.29743,0.00015434,0.00015434,0.00015434
4,6.86249,1.81132,1.70586,1.22861,0.69899,0.55742,0.66386,0.32997,1.55662,2.17859,1.29566,0.00013983,0.00013983,0.00013983
5,8.68912,1.69329,1.45536,1.19148,0.72817,0.64213,0.7324,0.37715,1.50216,1.58989,1.25071,9.01243e-05,9.01243e-05,9.01243e-05
