epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78714,2.19733,4.88317,1.58143,0.01677,0.02857,0.01137,0.00398,1.8595,4.61134,1.53904,7.777e-05,7.777e-05,7.777e-05
2,4.41371,2.16161,3.20485,1.45684,0.79496,0.35675,0.43486,0.23603,1.58783,2.87302,1.33085,0.000133653,0.000133653,0.000133653
3,5.82123,1.8551,2.021,1.29147,0.54805,0.4726,0.53705,0.30123,1.55665,2.24841,1.30202,0.00015434,0.00015434,0.00015434
4,7.18179,1.80339,1.73254,1.21658,0.62379,0.53437,0.56304,0.30824,1.56242,2.12525,1.29221,0.00013983,0.00013983,0.00013983
5,9.04047,1.71984,1.47362,1.19524,0.60769,0.65585,0.66234,0.34459,1.48957,1.7124,1.25468,9.01243e-05,9.01243e-05,9.01243e-05
