epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5909,2.18161,4.89961,1.57155,0.07202,0.07262,0.03355,0.01244,1.81167,4.1514,1.49214,7.777e-05,7.777e-05,7.777e-05
2,4.31506,2.093,2.98597,1.42249,0.61285,0.45385,0.44406,0.24714,1.58619,2.61039,1.31639,0.000133653,0.000133653,0.000133653
3,5.78351,1.85765,1.96045,1.28127,0.68771,0.54725,0.53531,0.28368,1.53739,2.73773,1.28017,0.00015434,0.00015434,0.00015434
4,7.14239,1.81107,1.69306,1.21798,0.62242,0.65999,0.6643,0.32733,1.5657,2.08482,1.28793,0.00013983,0.00013983,0.00013983
5,8.91117,1.69484,1.44333,1.1863,0.64542,0.64634,0.69023,0.35697,1.49488,1.56931,1.24027,9.01243e-05,9.01243e-05,9.01243e-05
