epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49436,2.19177,4.90641,1.57784,0.05096,0.04762,0.03295,0.01215,1.78529,4.1639,1.49676,7.777e-05,7.777e-05,7.777e-05
2,4.25336,2.08137,2.98402,1.42341,0.8239,0.40714,0.46784,0.25663,1.51185,2.48115,1.28261,0.000133653,0.000133653,0.000133653
3,5.71342,1.83816,1.9584,1.28391,0.48914,0.50302,0.52258,0.30026,1.51154,2.71683,1.29238,0.00015434,0.00015434,0.00015434
4,7.1504,1.78677,1.68653,1.21536,0.73438,0.55689,0.69307,0.35249,1.53716,2.03677,1.30735,0.00013983,0.00013983,0.00013983
5,9.08631,1.69785,1.43741,1.19122,0.70795,0.66087,0.73919,0.37665,1.50719,1.53293,1.27434,9.01243e-05,9.01243e-05,9.01243e-05
