epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42138,2.20995,4.92061,1.58797,0.04936,0.0869,0.02831,0.01094,1.79837,4.23088,1.50557,7.777e-05,7.777e-05,7.777e-05
2,5.30814,2.09401,2.97327,1.42657,0.61195,0.45262,0.45022,0.2493,1.53917,2.59428,1.324,0.000133653,0.000133653,0.000133653
3,7.05108,1.83647,1.95047,1.27898,0.56458,0.43718,0.51379,0.27503,1.57271,3.01842,1.31045,0.00015434,0.00015434,0.00015434
4,8.22947,1.81064,1.69752,1.22191,0.47497,0.65259,0.61571,0.30152,1.59252,2.43024,1.29647,0.00013983,0.00013983,0.00013983
5,9.28829,1.71361,1.43889,1.18958,0.69089,0.60488,0.66779,0.33477,1.53899,1.73475,1.24982,9.01243e-05,9.01243e-05,9.01243e-05
