epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00714,2.18861,4.89496,1.58935,0.05374,0.04762,0.04277,0.01778,1.79964,4.13266,1.47538,7.777e-05,7.777e-05,7.777e-05
2,5.52261,2.08219,2.96387,1.41448,0.58638,0.5254,0.47713,0.25186,1.55415,2.48187,1.29083,0.000133653,0.000133653,0.000133653
3,7.04896,1.84683,1.93175,1.27769,0.50263,0.4481,0.48843,0.27601,1.50901,2.63665,1.24565,0.00015434,0.00015434,0.00015434
4,8.35486,1.79341,1.65712,1.21359,0.47157,0.70798,0.64252,0.3329,1.51845,2.04565,1.24967,0.00013983,0.00013983,0.00013983
5,9.5858,1.69084,1.42466,1.1837,0.54085,0.71663,0.69431,0.36491,1.48091,1.6192,1.2126,9.01243e-05,9.01243e-05,9.01243e-05
