epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.56236,2.19629,4.91212,1.5812,0.04451,0.04762,0.02738,0.01111,1.80894,4.18206,1.51589,7.777e-05,7.777e-05,7.777e-05
2,4.30047,2.09675,2.99188,1.43287,0.66177,0.42417,0.48132,0.26072,1.55135,2.48824,1.33308,0.000133653,0.000133653,0.000133653
3,6.27841,1.83541,1.96251,1.28114,0.71454,0.51423,0.54837,0.28471,1.55026,2.89374,1.31256,0.00015434,0.00015434,0.00015434
4,8.16914,1.79423,1.68542,1.22242,0.62599,0.59664,0.653,0.31627,1.5847,2.15557,1.30851,0.00013983,0.00013983,0.00013983
5,9.64073,1.69839,1.44209,1.19014,0.66238,0.66908,0.74431,0.37161,1.52802,1.61555,1.26823,9.01243e-05,9.01243e-05,9.01243e-05
