epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.41715,2.21412,4.89803,1.5896,0.04848,0.0619,0.03117,0.01093,1.82011,4.25636,1.53286,7.777e-05,7.777e-05,7.777e-05
2,4.07278,2.12532,3.00156,1.4347,0.5054,0.49966,0.43231,0.23638,1.56904,2.62717,1.32467,0.000133653,0.000133653,0.000133653
3,5.76569,1.8459,1.95328,1.28716,0.43435,0.47217,0.4869,0.26461,1.52988,2.75179,1.29246,0.00015434,0.00015434,0.00015434
4,7.63188,1.80564,1.67239,1.21467,0.5496,0.54279,0.57799,0.32413,1.54153,2.33224,1.27471,0.00013983,0.00013983,0.00013983
5,9.39829,1.69384,1.43062,1.18438,0.60553,0.74723,0.69301,0.37145,1.49381,1.68136,1.24128,9.01243e-05,9.01243e-05,9.01243e-05
